text,sentimen
@LiterallyShinei @Doc72_ it's time to learn 日本語,Netral
"play ham ham, ham jintaro, ham ham
smile ham ham, ham jintaro
https://t.co/wmSt6wx3In",Netral
"Kunjungan dilanjutkan ke penggilingan gabah milik I Ketut Gustana di Jalan Raya Tumbu. Hasil pengecekan tidak ditemukan beras oplosan di seluruh lokasi. 

#OperasiPasar #KetahananPangan #PolresKarangasem",Netral
"@tanyakanrl iya nder bapakku aja yg petani tebu alhamdulilah cukup dapetnya.
tpi yg nangis klok ada pupuk oplosan 🥲",Netral
"@CNNIndonesia Apa iya MBG itu singkatan dari MaBoG, habis makan mabuk/mendem alias karacunan?",Netral
"Meski ada jaminan bebas pungli, dugaan praktik di tingkat kelurahan/kecamatan menunjukkan perlunya pengawasan berlapis dan sanksi tegas. Ini vital untuk membangun kepercayaan publik &amp; meritokrasi di birokrasi, yang sering terkendala isu korupsi kecil.",Netral
@DC_NYJets https://t.co/jfCkCsYyyb,Netral
@lavienclu @goseoksoo klarifikasi dong oknum @sagiwhell,Netral
"Unit Samapta Polsek Tanjung Priok melaksanakan strong point dan patroli dialogis di Jl. Bisma Timur, Sunter Agung, Selasa (5/8). Kegiatan ini dalam rangka antisipasi 3C, tawuran, serta menyampaikan pesan kamtibmas kepada warga. Situasi terpantau aman dan kondusif. https://t.co/48Vi0lsXwP",Netral
"Halo HariPandowo, berdasarkan pernyataan resmi TNI AD, penganiayaan Prada Lucky memang berawal dari ""kegiatan pembinaan"" prajurit. Namun, ada kejanggalan: cerita awal bilang korban jatuh dari pohon, keluarga sebut dipukuli senior, dan motif detail masih diselidiki. Bukan hoax sepenuhnya, tapi kemungkinan penyembunyian bullying militer. Sumber: detik, Tempo, Kompas.",Netral
"📁 Tante TOBRUT Kena Iclik OJOL
https://t.co/swbzMS5jeB",Netral
"@_runlint Jl. Candi Gebang No.14, Jetis, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",Netral
"Terima kasih atas masukan. Video tersebut sebenarnya klarifikasi Riyoso (Kadis Pati) soal pemerasan modus video call bugil pada April 2025, bukan Sudewo. Kenaikan PBB 250% resmi untuk infrastruktur setelah 14 tahun, meski menuai protes. Tidak ada bukti langsung hubungkan dengan skandal. Mari verifikasi fakta bersama.",Netral
"@xxxdntcallme @banjarbase Sadang mi, klo pina didatangi klitih",Netral
"@6_arung Nah, padahal problemnya itu dari bus stopnya pemda yang ada di depan gerbang tengah sama ada titik stop ojol di tengah yang dah masuk wilayah pemda",Netral
"Ayo Bangkit, Persebaya Surabaya! Ini 3 Jadwal Padat Green Force Agustus 2025 Usai Dipermalukan PSIM Yogyakarta https://t.co/98pnfg9Hnv",Netral
keinget dlu gue jalan dari jakal km 4 ke boulevard trs masuk lewat situ KARENA ambil asthakarsa jokian t_______t day 1 bgt ngos2anny dpt,Netral
"Nikita Mirzani kembali menjalani sidang kasus pemerasan. Sidang kali ini dibatasi pengunjung, dan ada kejadian unik saat kucing masuk ruang sidang.

https://t.co/VAG238u2bG",Netral
"Sebanyak 313 personel gabungan Polda Banten dikerahkan untuk mengamankan pertandingan BRI Super League 2025/2026 

 https://t.co/BpJ27USI8Z",Netral
@pplusie gpp soalnya mancingnya ikan bkn mancing keributan,Netral
@vvlaminora meh klitih kah?,Netral
@sushimon__ @_susahmerem @txtdrbekasi sini kasih ke aku ta panggilno psht cabang bekasi😹,Netral
@demurecutesyy batik mayat gitu” juga kenang” an buat kita yee,Netral
"@gaeuIkm semangat ya divingnya, moga gloomynya yang segera tenggelam",Netral
"@Kenikir27 Setuju. 
Klo kita marah sama segelintir oknum tertentu lebih baik berdemonstrasi baik online maupun offline.  Toh di bolehkan sama undang².

Lambang negara bendera merah putih sangat saklar menurut saya. Dibuat oleh darah, air mata pahlawan kita.",Netral
@psn @innovacommunity hahaha.. jadi di spanyol pajero itu artinya orang yang bawa jerami atau tukang coli ya..🤣,Netral
"@juyueonlee oke sayang jadi gendam adalah semacam pelet, apakah sayangku adik kecilku udah mengerti?",Netral
"Dalam konferensi pers di Polda Metro Jaya pada Selasa, 29 Juli 2025, polisi mengungkap bahwa Arya Daru Pangayunan (ADP) telah menyimpan keinginan bunuh diri sejak 2013 tanpa ada tanda keterlibatan pihak lain. Hal ini berdasarkan hasil forensik digital dari perangkat pribadinya. https://t.co/jnbosMCllc",Netral
"Air itu turun bukan sebagai hujan
Tenggelam dalam gelombang atau berlayar diatas daratan~",Netral
"@6000Hates7000 ***GIRL

also that’s goodette from object cringe double u tee eff!!",Netral
gelut terosss 😂,Netral
"dance opsional, liat keributan yes https://t.co/ccBUuAPk6r",Netral
